time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/loss,train/learning_rate,train/policy_gradient_loss
1,14,2048,29.5294871,140,201.0,,,,,,,,,,
2,12,4096,26.621848095238096,329,193.28571428571428,7.494611172378063,6.614617e-05,-4.6150852113962175,10,-0.00913691520690918,0.0,0.2,3.5034639835357666,1e-05,-0.0017825969523983076
3,11,6144,27.8372404375,522,190.84375,5.764301237463951,7.286976e-05,-4.615012189745903,20,-0.009907722473144531,0.0,0.2,2.4639992713928223,1e-05,-0.001781743397077662
4,11,8192,27.48194437209303,716,189.65116279069767,9.310615155100823,3.5768957e-05,-4.614955288171768,30,-0.07494592666625977,0.0,0.2,4.123278617858887,1e-05,-0.001356213252438465
5,11,10240,25.940002796296305,905,188.94444444444446,6.586374472081661,8.242708e-05,-4.614924027025699,40,0.04202061891555786,0.0,0.2,3.5294158458709717,1e-05,-0.002247057273052633
6,11,12288,25.8677654,1094,188.47692307692307,4.485942680388689,6.780564e-05,-4.6148236185312275,50,-0.12259459495544434,0.0,0.2,1.9135137796401978,1e-05,-0.0016109450429212303
7,11,14336,25.57720717105263,1285,188.14473684210526,6.173467244207859,9.040805e-05,-4.614741280674934,60,-0.00821077823638916,0.0,0.2,3.0874595642089844,1e-05,-0.0021214391046669332
8,11,16384,25.53041310344828,1472,187.89655172413794,5.470141994953155,9.414114e-05,-4.614599792659282,70,-0.08314871788024902,0.0,0.2,3.13265061378479,1e-05,-0.0021900942418142224
9,11,18432,25.09979218367347,1660,187.70408163265307,6.66143563464284,8.6429965e-05,-4.614439332485199,80,0.0016872882843017578,0.0,0.2,3.412626028060913,1e-05,-0.002243406587513164
10,11,20480,24.82872773,1854,186.34,4.529429799318313,7.517752e-05,-4.614317488670349,90,0.030744552612304688,0.0,0.2,2.4392123222351074,1e-05,-0.0018890250343247318
11,10,22528,24.429375179999997,2052,186.33,6.468509597331286,4.5891094e-05,-4.614216350018978,100,0.012533068656921387,0.0,0.2,3.6924095153808594,1e-05,-0.0014579212293028831
12,10,24576,23.377174789999998,2239,186.33,4.553938730806112,7.789573e-05,-4.61423846334219,110,-0.03510451316833496,0.0,0.2,2.4980435371398926,1e-05,-0.0019255229810369201
13,10,26624,23.42812597,2423,186.33,3.8778441183269026,0.00010356383,-4.614165213704109,120,-0.03791165351867676,0.0,0.2,1.8544048070907593,1e-05,-0.0023002087749773637
14,10,28672,23.965997849999997,2607,186.33,6.870098415017128,3.4110883e-05,-4.614043565094471,130,0.006221652030944824,0.0,0.2,4.273606777191162,1e-05,-0.0011051113498979249
15,11,30720,23.864743699999995,2792,187.96,6.6503983557224275,5.8535312e-05,-4.613976500928402,140,-0.0688943862915039,0.0,0.2,3.199768304824829,1e-05,-0.001601155749085592
16,10,32768,23.471487860000003,2986,188.34,4.713515723496675,8.715954e-05,-4.613944245874881,150,0.0316162109375,0.0,0.2,2.274169921875,1e-05,-0.002038736811664421
17,10,34816,24.003681580000002,3174,189.97,4.922739958018065,7.452551e-05,-4.613746184110641,160,0.0065416693687438965,0.0,0.2,2.1061851978302,1e-05,-0.0018050399696221576
18,10,36864,24.094360289999994,3362,190.35,8.357174499332904,5.116695e-05,-4.613756275177002,170,0.006950318813323975,0.0,0.2,4.445594787597656,1e-05,-0.0016457302524941042
19,10,38912,23.771509070000008,3555,190.35,4.857329138368368,5.4375734e-05,-4.613684865832329,180,-0.030958056449890137,0.0,0.2,1.942386269569397,1e-05,-0.0014511805755319073
20,10,40960,24.216202130000003,3748,190.35,4.567565703392029,0.00011127704,-4.613654851913452,190,-0.016651630401611328,0.0,0.2,2.097917079925537,1e-05,-0.00214684244201635
21,10,43008,24.68663744,3938,190.35,6.707893396914005,6.679725e-05,-4.613663138449192,200,-0.00039124488830566406,0.0,0.2,3.0698347091674805,1e-05,-0.0018057258021144662
22,10,45056,24.947165410000004,4127,190.35,6.511926430463791,5.7950878e-05,-4.613521426916122,210,-0.019317030906677246,0.0,0.2,2.7069406509399414,1e-05,-0.0014138202277536038
23,10,47104,24.63011259,4307,190.35,6.608400273323059,5.8756385e-05,-4.613560511171817,220,0.0004420280456542969,0.0,0.2,2.4228241443634033,1e-05,-0.0016151276446180417
24,10,49152,24.81525573,4490,190.35,6.163250137120485,9.3009614e-05,-4.613341377675534,230,-0.025946378707885742,0.0,0.2,3.6879773139953613,1e-05,-0.0020170527626760305
25,10,51200,24.875840020000002,4677,190.35,5.539531183242798,9.307379e-05,-4.61341522783041,240,-0.022392868995666504,0.0,0.2,2.628368854522705,1e-05,-0.0019596803234890104
